"Year","TotalPopulation","GrowthRate","Density","TotalPopulationRank","DensityRank"
"2022","51329.8990","0.0009","527.9224","29","24"
"2021","51305.1860","0.0013","527.6683","28","24"
"2020","51269.1850","0.0009","527.2980","28","23"
"2019","51225.3080","0.0010","526.8467","28","23"
"2018","51171.7060","0.0015","526.2954","28","23"
"2017","51096.4150","0.0022","525.5211","27","23"
"2015","50823.0930","0.0051","522.7100","27","22"
"2010","49545.6360","0.0034","509.5715","26","21"
"2005","48701.0730","0.0055","500.8852","25","19"
"2000","47379.2410","0.0091","487.2903","24","20"
"1995","45292.5220","0.0108","465.8287","24","18"
"1990","42918.4190","0.0101","441.4113","24","19"
"1985","40804.4020","0.0141","419.6689","23","18"
"1980","38045.6070","0.0146","391.2949","23","16"
"1975","35378.6610","0.0190","363.8657","23","15"
"1970","32195.6810","0.0219","331.1291","24","15"
"1965","28895.5580","0.0267","297.1877","24","18"
"1960","25329.5150","0.0332","260.5113","24","20"
"1955","21514.5700","0.0229","221.2750","24","23"
